date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:38:19	453/453	---MCZ	200	added ('OK')	text/plain	etag:cacheable:098ffc510d20edfbc1ce2b77190f5797	https://sabujcha-demo.myshopify.com/robots.txt		(from )
17:38:20	130119/130119	---MCZ	200	added ('OK')	text/html	etag:cacheable:0e71fef27467a9f4c5bc7b1ecbee3541	https://sabujcha-demo.myshopify.com/	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/sabujcha-demo.myshopify.com/index.html	(from )
17:38:20	909/909	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Dec%202020%2012:08:22%20GMT	http://cdn.shopify.com/s/files/1/0053/5665/0560/files/favicon_32x32.png?v=1543294504	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/cdn.shopify.com/s/files/1/0053/5665/0560/files/favicon_32x320419.png	(from https://sabujcha-demo.myshopify.com/)
17:38:22	42985/42985	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Dec%202020%2012:08:23%20GMT	http://cdn.shopify.com/s/files/1/0053/5665/0560/t/2/assets/timber.scss.css?v=9184491999596081760	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/cdn.shopify.com/s/files/1/0053/5665/0560/t/2/assets/timber.scss089a.css	(from https://sabujcha-demo.myshopify.com/)
17:38:23	127343/127343	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Dec%202019%2019:54:53%20GMT	http://cdn.shopify.com/s/files/1/0053/5665/0560/t/2/assets/bootstrap.min.css?v=1986833734021132441	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/cdn.shopify.com/s/files/1/0053/5665/0560/t/2/assets/bootstrap.minc79f.css	(from https://sabujcha-demo.myshopify.com/)
17:38:23	75599/75599	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Dec%202019%2009:20:58%20GMT	http://cdn.shopify.com/s/files/1/0053/5665/0560/t/2/assets/animate.css?v=9888746204862415360	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/cdn.shopify.com/s/files/1/0053/5665/0560/t/2/assets/animate2117.css	(from https://sabujcha-demo.myshopify.com/)
17:38:24	10775/10775	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Dec%202019%2000:03:35%20GMT	http://cdn.shopify.com/s/files/1/0053/5665/0560/t/2/assets/chosen.min.css?v=16378500291142650933	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/cdn.shopify.com/s/files/1/0053/5665/0560/t/2/assets/chosen.minfb6a.css	(from https://sabujcha-demo.myshopify.com/)
17:38:25	27412/27412	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Dec%202019%2010:17:13%20GMT	http://cdn.shopify.com/s/files/1/0053/5665/0560/t/2/assets/font-awesome.min.css?v=14053330696143262969	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/cdn.shopify.com/s/files/1/0053/5665/0560/t/2/assets/font-awesome.mina741.css	(from https://sabujcha-demo.myshopify.com/)
17:38:25	51239/51239	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Dec%202019%2006:57:00%20GMT	http://cdn.shopify.com/s/files/1/0053/5665/0560/t/2/assets/ionicons.min.css?v=18436430612067519620	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/cdn.shopify.com/s/files/1/0053/5665/0560/t/2/assets/ionicons.minb771.css	(from https://sabujcha-demo.myshopify.com/)
17:38:26	21807/21807	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Dec%202019%2009:43:17%20GMT	http://cdn.shopify.com/s/files/1/0053/5665/0560/t/2/assets/jquery-ui.css?v=8017439594278259055	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/cdn.shopify.com/s/files/1/0053/5665/0560/t/2/assets/jquery-uife68.css	(from https://sabujcha-demo.myshopify.com/)
17:38:27	2845/2845	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Dec%202019%2006:17:06%20GMT	http://cdn.shopify.com/s/files/1/0053/5665/0560/t/2/assets/meanmenu.min.css?v=3064370016492856624	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/cdn.shopify.com/s/files/1/0053/5665/0560/t/2/assets/meanmenu.min07f7.css	(from https://sabujcha-demo.myshopify.com/)
17:38:28	2936/2936	---M-Z	200	added ('OK')	text/css	date:Fri,%2013%20Dec%202019%2022:11:25%20GMT	http://cdn.shopify.com/s/files/1/0053/5665/0560/t/2/assets/owl.carousel.min.css?v=10084739304461680995	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/cdn.shopify.com/s/files/1/0053/5665/0560/t/2/assets/owl.carousel.min22a5.css	(from https://sabujcha-demo.myshopify.com/)
17:38:29	1573/1573	---M-Z	200	added ('OK')	text/css	date:Wed,%2011%20Dec%202019%2018:10:25%20GMT	http://cdn.shopify.com/s/files/1/0053/5665/0560/t/2/assets/slick.css?v=14689265146432510397	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/cdn.shopify.com/s/files/1/0053/5665/0560/t/2/assets/slick6c6a.css	(from https://sabujcha-demo.myshopify.com/)
